Row Labels,Sum of tot_cases,Sum of tot_death,Population
AK,52470,260,731545
AL,455582,7566,4903185
AR,294387,4838,3017804
AZ,753379,13098,7278717
CA,3224374,40216,39512223
CO,393421,5594,5758736
CT,250023,7046,3565287
DC,36662,909,705749
DE,77551,1081,973764
FL,1682096,26360,21477737
GA,905858,14196,10617423
HI,25051,404,1415872
IA,318556,4651,3155070
ID,162683,1725,1787065
IL,1123873,21213,12671821
IN,624959,9967,6732219
KS,274685,3779,2913314
KY,361124,3714,4467673
LA,397276,8801,4648794
MA,505495,14449,6892503
MD,354473,7127,6045680
ME,39323,590,1344212
MI,610138,15525,9986857
MN,460819,6255,5639632
MO,458819,6748,6137428
MS,275001,6045,2976149
MT,93762,1232,1068778
NC,752627,9287,10488084
ND,97630,1422,762062
NE,190570,1920,1934408
NH,65362,1042,1359711
NJ,692543,21491,8882190
NM,173539,3265,2096829
NV,277349,4264,3080156
NY,805504,16131,19453561
OH,892781,11121,11689100
OK,393251,3558,3956971
OR,142416,1957,4217737
PA,839239,21602,12801989
RI,114438,2154,1059361
SC,439785,7014,5148714
SD,108070,1775,884659
TN,724742,9574,6829174
TX,2349262,36320,28995881
UT,345430,1663,3205958
VA,504779,6464,8535519
VT,11831,173,623989
WA,311597,4284,7614893
WI,590997,6430,5822434
WV,120340,2015,1792147
WY,51704,596,578759
